id	tweet	coding	sentiment	
1465771846872281095	@DeerTrivia @Vinyl_Mac @bigbrotherisyou @foofighters Real world study. St.Louis Blues have a 22 man roster. Over 50% of said roster has had covid after being vaccinated. 9 of since October.	neutral commentary	negative	
1465771846364708875	@josephineinnit Fuck that this year told the 11yr old he died of Covid	neutral commentary	negative	
1465771843118321671	Told vinnie I had Covid and he just don’t  give a fuck , in the bed sleep like 🥴🥴	neutral commentary	negative	
1465771842929577986	Dr. Oz wrote a couple of really excellent books, like his user manual to your body.  If he had stayed on track, on his flight path, he might have saved many lives during CoVID without knowing it because they might have eliminated their co-morbidities. https://t.co/idPyg6GzYh	neutral commentary	neutral	
1465771841625235470	Donors make such an impact. Donor support helped to build out a fantastic SCVMC vaccination site for kids 5-11 @ the Fairgrounds Expo Hall.   Give this #GivingTuesday because every gift matters and the impact it makes is unmatched.   To donate: https://t.co/BoqvNoIlBB https://t.co/wRDSULwiS2	neutral commentary	positive	
1465771840937373700	@RayneWooney7 @MaximeBernier I wish there was a vaccination requirement to get into the US! It could sill happen I guess 🙂	provaccine commentary	neutral	
1465771839926329347	@AKTU_Lucknow @Vineetkansal2 @Aktucoe Their is hardly 2-3 unit cover in whole subjet the session was delay due to covid pandemic.... ......... But university are going to take semester exam on time how it can be possible to cover 3 unit within 20 days..........  #unjustice with 5th/7th sem students @myogiadityanath	neutral commentary	negative	
1465771839905406977	@Barrtecforever @sandcastle1975 @thinks_about_it @seandotcab @JohnDublin10 @Kenneth72712993 @jimdtweet @amcelha3 @4Clearsky @BubbasRanch @Moderna5G_666 @IngersolRobert @OscarsWild1 @BolzmannMichael @rln_nelson @HalBrow68884227 @AristotleMrs @BigRakaDoc @chimera414 @k_b_lvi @Stephen04880258 @GuyGadboisGuyG1 @thisisnothappen @basil_ireton @The_Ouroboros__ @DavidTaylorYork @GlennCarr6 @DawnTJ90 @keithamccluskey @Gordon_DHG @EricWil06256732 @wildweatherdan @robhon_ @try2golf @ejwwest @TWTThisIsNow @Tragiicomedy @covid_parent @IanDJbrown2 @Narvuntien @dan613 @Boeing74 @organicdot @oakden_wolf @RobMeekel @25_cycle @sunsnowflowers @BridgetHolmstro @rockandroll432 After reading again it was I that didn’t get, sorry!	neutral commentary	neutral	
1465771839209324548	me missing a week of school due to covid , then having a dentist appt and needing days off … #sobehind	neutral commentary	negative	
1465771839091662848	i miss surfing :( covid leave so i can go back home and surf again. the water here’s way too cold.	neutral commentary	negative	
1465771838139736073	@TrumpJew2 If we had a vaccine which prevented the spread and prevent people from getting it, this would be a different story, but we don’t.  You can still get, spread and die from Covid after getting the vax. This nonsense has got to stop.	antivaccine commentary	negative	
1465771837359595522	You morons. Why do you think there's a new variant of COVID-19?  It's the same fucking reason there's new variants of the flu, and you need to get a new flu shot every year.	antivaccine commentary	negative	
1465771835107287044	@AllyouneedisC @ciaraphelan_ Again, case numbers mean that small % of extreme cases becomes large numbers of actual kids. We can’t treat Covid like a cold because it spreads too far, too fast.  The likely future is that Covid will become endemic &amp; low incidence, but we don’t get there soon if cases are high.	neutral analysis	negative	
1465771833773469718	To all the Politicians and their useful idiots who have had their noses in the #BigPharma Covid trough. You have sold out your own people to make some quick blood money. I hope the mob eventually comes for you all, and you get some street justice, you f#cking scum.	antivaccine commentary	negative	
1465771833526005763	Majority of #NorthMacedonia citizens believe #COVID19 pandemic was created in a laboratory (poll)   https://t.co/hW7vrjw6pv https://t.co/UHdgQHh0ue	news	neutral	
1465771833219768332	Do we agree with his level of coercion or is this fascism? Covid: Greece to fine over-60s who refuse Covid-19 vaccine https://t.co/yPn0fkIWf5	news	negative	
1465771830959120389	@ConceptualJames I bet some big ad money coming from Pfizer.	neutral commentary	neutral	
1465771830841692162	COVID doesn't care who you are, where you're from, what you look like, or what you believe in.   GET. VACCINATED. https://t.co/UgdNJquXFI	provaccine commentary	positive	
1465771830086713345	@piersmorgan Again Piers, I had covid, nothing more than sniffles. I have ZERO chance to die from it. Why would I risk myocarditis or blood clot? I am not antivaxxer or vaccine sceptic. I am just sceptic for experimental “gene therapy” which can cause me more harm than covid.	antivaccine commentary	neutral	
1465771829088378882	The inside story of the Pfizer vaccine: ‘a once-in-an-epoch windfall’ - https://t.co/VXOeDhmsn0 via @FT	neutral commentary	neutral	
1465771819466698755	@TinaBob17 He’s had covid and he’s double jabbed how much more immunity does he need?	antivaccine commentary	neutral	
1465771818837426178	China’s Xi promises 1bn COVID-19 vaccine doses to Africa https://t.co/k8IsvyYsua via @AJEnglish	news	neutral	
1465771817436475392	A Comprehensive Breakdown of OSHA’s COVID-19 Vaccination Rule - Update https://t.co/sSUxsz93Jn | by @Mintz_Law	neutral commentary	neutral	
1465771816207720454	Tested negative for strep and flu waiting on the covid test IM SICK ASF I’ve never been this sick in my life .	neutral commentary	negative	
1465771815255654406	@soniasodha Where does the medical tyranny end, are we witnessing the end of the “free world” ? #Greece #Covid_19	antivaccine commentary	negative	
1465771814777503747	@terzaketv @BenWeyts Opinion: As an aerosol scientist, I know schools need masks, HEPA filters and outdoor lunches https://t.co/CBvOEHh0tN via @denverpost	neutral commentary	neutral	
1465771814118957061	@DawnOttley1 I know I was up all night too lol.  Andy got a Pfizer vaccine but I can’t have that one so they need to order AZ for me.   I’m dreading it 🤦🏻‍♀️.  Where you going? Xx	provaccine commentary	neutral	
